,UNIQUE_ID,Long_new,Lat_new,DATE,Unnamed: 4,Lat,Long,X,Y
0,LS_1,-120.5475817,45.71766743,6/20/07 0:00,,,,-1891149.36294,2771125.30501
1,LS_3,-120.406054,45.69114335,6/20/07 0:00,,,,-1881235.91729,2765467.1325
2,LS_11,-122.1427822,45.57304517,8/13/08 0:00,,,,-2015390.792,2788413.13855
3,LS_12,-122.0965562,45.58101599,8/13/08 0:00,,,,-2011677.08812,2788286.18577
4,LS_14,-121.9844807,45.61695475,8/12/08 0:00,,,,-2002176.20137,2789763.64515
5,LS_16,-121.9307484,45.63895431,8/25/08 0:00,,,,-1997480.65928,2790986.57221
6,LS_20,-121.9068968,45.64798881,8/12/08 0:00,,,,-1995418.85055,2791452.13432
7,LS_21,-121.8979919,45.65569626,8/25/08 0:00,,,,-1994519.56589,2792089.86983
8,LS_22,-121.8907218,45.6625396,8/25/08 0:00,,,,-1993769.01384,2792669.53338
9,LS_23,-121.8884224,45.66461322,8/25/08 0:00,,,,-1993534.36376,2792843.16711
10,LS_25,-121.8289535,45.69540994,8/29/07 0:00,,,,-1988149.98626,2794892.67884
11,LS_26,-121.8261087,45.69601236,8/25/08 0:00,,,,-1987918.46615,2794897.63098
12,LS_27,-121.8190551,45.69731118,8/25/08 0:00,,,,-1987350.23666,2794889.08918
13,LS_28,-121.8057224,45.69679511,8/13/08 0:00,,,,-1986364.72088,2794555.11695
14,LS_64,-120.9455832,44.79338589,1/5/06 0:00,,,,-1947782.07038,2679841.53562
15,LS_65,-120.9739198,44.77078033,1/5/06 0:00,,,,-1950597.28701,2677992.27794
16,LS_122,-120.8236054,44.15016805,6/26/07 0:00,,,,-1956982.26045,2608118.11956
17,LS_126,-120.8178498,44.14081053,6/25/07 0:00,,,,-1956808.22805,2606991.76184
18,LS_133,-123.8384537,45.27279619,8/9/06 0:00,,,,-2152109.06311,2793553.54502
19,LS_134,-124.0568325,44.73933408,8/23/07 0:00,,,,-2185771.83786,2741724.55625
20,LS_135,-124.0613965,44.698745,8/23/07 0:00,,,,-2187432.23613,2737505.56067
21,LS_136,-124.0630212,44.69646272,8/23/07 0:00,,,,-2187629.14325,2737299.8155
22,LS_139,-122.608609,44.41147073,1/19/06 0:00,,,,-2086087.3636,2674154.30211
23,LS_142,-122.5673164,44.40211626,1/19/06 0:00,,,,-2083222.52118,2672246.71105
24,LS_143,-122.5571518,44.40132338,1/19/06 0:00,,,,-2082470.71398,2671939.01407
25,LS_144,-122.5566668,44.40135056,1/19/06 0:00,,,,-2082432.84266,2671931.2974
26,LS_145,-122.5563109,44.40138276,1/19/06 0:00,,,,-2082404.67548,2671926.94748
27,LS_146,-122.5554579,44.40142316,1/19/06 0:00,,,,-2082338.29626,2671912.58351
28,LS_148,-122.5326713,44.39603086,1/23/06 0:00,,,,-2080763.76415,2670835.918
29,LS_149,-122.5324443,44.39550011,1/23/06 0:00,,,,-2080762.72491,2670774.09763
30,LS_150,-122.5303887,44.39414844,1/23/06 0:00,,,,-2080647.23065,2670584.30919
31,LS_151,-122.434768,44.39981981,1/23/06 0:00,,,,-2073169.42845,2669102.1281
32,LS_152,-122.4324831,44.3997259,1/23/06 0:00,,,,-2072997.75145,2669042.2227
33,LS_153,-122.4207138,44.3984097,1/23/06 0:00,,,,-2072138.89104,2668644.52136
34,LS_154,-122.419615,44.39859003,1/23/06 0:00,,,,-2072049.43098,2668639.88533
35,LS_155,-122.4187163,44.39847212,1/23/06 0:00,,,,-2071984.378,2668607.65698
36,LS_156,-122.4098661,44.39418845,2/13/06 0:00,,,,-2071439.17971,2667955.72458
37,LS_157,-122.4077854,44.39395136,2/13/06 0:00,,,,-2071287.45103,2667884.96827
38,LS_158,-122.4064144,44.39417248,2/13/06 0:00,,,,-2071175.94043,2667878.7814
39,LS_159,-122.3998677,44.3961842,2/13/06 0:00,,,,-2070614.25835,2667951.6858
40,LS_161,-122.385311,44.40452279,2/13/06 0:00,,,,-2069247.36569,2668528.16255
41,LS_162,-122.3822037,44.40515329,2/13/06 0:00,,,,-2068990.71742,2668528.07221
42,LS_163,-122.3810901,44.40507129,2/13/06 0:00,,,,-2068908.14366,2668495.04117
43,LS_164,-122.3757933,44.40521314,2/13/06 0:00,,,,-2068499.13954,2668394.93997
44,LS_168,-122.3239932,44.4036923,1/16/08 0:00,,,,-2064587.64398,2667105.53335
45,LS_169,-122.3105731,44.4048634,1/16/08 0:00,,,,-2063526.47749,2666939.57665
46,LS_170,-122.3053621,44.40606397,1/16/08 0:00,,,,-2063091.71607,2666955.11895
47,LS_171,-122.2746313,44.40270128,10/1/08 0:00,,,,-2060845.58658,2665927.89863
48,LS_174,-122.2722373,44.40274277,10/1/08 0:00,,,,-2060661.36019,2665880.43329
49,LS_176,-122.2690046,44.40271005,10/1/08 0:00,,,,-2060415.28999,2665806.83348
50,LS_179,-122.2641677,44.40023661,10/1/08 0:00,,,,-2060120.81904,2665436.82641
51,LS_180,-122.2635822,44.40033452,10/1/08 0:00,,,,-2060073.09172,2665434.62993
52,LS_181,-122.2612788,44.39988077,10/1/08 0:00,,,,-2059910.83392,2665336.05872
53,LS_182,-122.2606398,44.39865792,10/1/08 0:00,,,,-2059899.16871,2665191.11915
54,LS_183,-122.2579223,44.39835032,10/1/08 0:00,,,,-2059700.80931,2665099.24385
55,LS_184,-122.2572275,44.39808182,10/1/08 0:00,,,,-2059655.86387,2665055.40187
56,LS_185,-122.2566879,44.39801015,10/1/08 0:00,,,,-2059616.79788,2665036.02412
57,LS_186,-122.2543852,44.39757772,10/1/08 0:00,,,,-2059453.93247,2664939.76345
58,LS_187,-122.2535676,44.39717199,10/1/08 0:00,,,,-2059403.76912,2664878.55044
59,LS_188,-122.2528737,44.39708284,10/1/08 0:00,,,,-2059353.43881,2664853.95646
60,LS_189,-122.2519587,44.3967197,10/1/08 0:00,,,,-2059294.53464,2664795.19926
61,LS_190,-122.2312346,44.40228235,5/6/08 0:00,,,,-2057541.45645,2664942.66262
62,LS_191,-122.223269,44.40672585,8/17/07 0:00,,,,-2056797.69251,2665246.61583
